metric,avg,median,sd,min,max
cycles:k,4003313.3333333335,4309777,547380.4283478417,2947144,4372194
LLC-load-misses,24616.333333333332,21692,12365.522207600723,12360,40170
LLC-stores,551.3333333333334,564,77.41489951337964,453,665
branch-misses,2795269.8333333335,2812029,56318.27114326812,2694642,2865981
LLC-loads,85577.83333333333,97510,21904.226326594297,55964,111945
instructions:u,438856694.6666667,435097188,10081128.157501396,433138847,459357179
cycles:u,304085303.1666667,302733698,7136251.074442194,297982937,318081745
L1-dcache-load-misses,1533806.3333333333,1553111,85340.24730141499,1365831,1600003
LLC-store-misses,367.0,371,209.5089496895061,35,622
